page_title,lag,estimate,statistic,p.value,method,alternative
Encephalitis,-35,0.02037171270658678,16205073.824618028,0.6619609006193945,Spearman's rank correlation rho,two.sided
Encephalitis,-34,0.024337236000927652,16244277.675947277,0.6010413915316036,Spearman's rank correlation rho,two.sided
Encephalitis,-33,0.02823487309089326,16284218.067061588,0.543628498649686,Spearman's rank correlation rho,two.sided
Encephalitis,-32,0.03154615023710114,16333656.93621537,0.4969300987473878,Spearman's rank correlation rho,two.sided
Encephalitis,-31,0.035539701792104035,16371246.763294702,0.4435553669767257,Spearman's rank correlation rho,two.sided
Encephalitis,-30,0.041736113173860376,16370782.840177083,0.36765839150655744,Spearman's rank correlation rho,two.sided
Encephalitis,-29,0.046839001016837016,16388211.76245697,0.3114360865813402,Spearman's rank correlation rho,two.sided
Encephalitis,-28,0.050942873391637444,16422251.999835087,0.2703790499882792,Spearman's rank correlation rho,two.sided
Encephalitis,-27,0.0544341521040777,16466499.724232666,0.23836061609998122,Spearman's rank correlation rho,two.sided
Encephalitis,-26,0.056284034302775676,16539184.75355941,0.22226493180927942,Spearman's rank correlation rho,two.sided
Encephalitis,-25,0.05785068675586988,16616898.479132889,0.20915502760429117,Spearman's rank correlation rho,two.sided
Encephalitis,-24,0.060978720667067235,16666993.868796008,0.1850620572594522,Spearman's rank correlation rho,two.sided
Encephalitis,-23,0.06309952945224795,16734822.514876893,0.16976247183169418,Spearman's rank correlation rho,two.sided
Encephalitis,-22,0.06689355203425391,16772541.746861888,0.14505003152205975,Spearman's rank correlation rho,two.sided
Encephalitis,-21,0.07107076233715802,16802914.221162613,0.1211182424386858,Spearman's rank correlation rho,two.sided
Encephalitis,-20,0.07362739703844702,16862277.851583008,0.10790103639373669,Spearman's rank correlation rho,two.sided
Encephalitis,-19,0.07512113849575966,16940969.11101871,0.10056271145295458,Spearman's rank correlation rho,two.sided
Encephalitis,-18,0.07666768257451957,17018787.40820106,0.09338703823810689,Spearman's rank correlation rho,two.sided
Encephalitis,-17,0.07845895245749387,17092153.563547976,0.0856302906938684,Spearman's rank correlation rho,two.sided
Encephalitis,-16,0.08025505173236083,17165458.417849414,0.07836971089287535,Spearman's rank correlation rho,two.sided
Encephalitis,-15,0.08452291875992556,17192370.294930924,0.06344049595477173,Spearman's rank correlation rho,two.sided
Encephalitis,-14,0.08894179227276042,17215875.196392324,0.050519729739262505,Spearman's rank correlation rho,two.sided
Encephalitis,-13,0.0919670244039868,17265284.51600406,0.042925991557173214,Spearman's rank correlation rho,two.sided
Encephalitis,-12,0.0939446728687383,17334464.777333237,0.03842463097380747,Spearman's rank correlation rho,two.sided
Encephalitis,-11,0.09511696983993737,17419121.394673306,0.03586858027552336,Spearman's rank correlation rho,two.sided
Encephalitis,-10,0.09433499098049337,17541792.9557585,0.03723013339484902,Spearman's rank correlation rho,two.sided
Encephalitis,-9,0.09209800986825893,17693448.19624461,0.04177937667110338,Spearman's rank correlation rho,two.sided
Encephalitis,-8,0.08876793745998075,17867515.737010013,0.049550772445016586,Spearman's rank correlation rho,two.sided
Encephalitis,-7,0.08300951351084879,18090736.773842838,0.06608412242560623,Spearman's rank correlation rho,two.sided
Encephalitis,-6,0.07726938686531078,18315433.113392226,0.08687477333969841,Spearman's rank correlation rho,two.sided
Encephalitis,-5,0.0711135576932813,18550274.678445555,0.1148033311692957,Spearman's rank correlation rho,two.sided
Encephalitis,-4,0.06207632032739364,18844964.225573137,0.16834266186501412,Spearman's rank correlation rho,two.sided
Encephalitis,-3,0.053713079946405035,19128698.019684993,0.23291615414192307,Spearman's rank correlation rho,two.sided
Encephalitis,-2,0.04589003985967745,19403963.245764174,0.30773866676333644,Spearman's rank correlation rho,two.sided
Encephalitis,-1,0.03898453844752577,19662853.00703255,0.38580888631132126,Spearman's rank correlation rho,two.sided
