country_long,iso2,project,page_id,page_title,pageviews_dp,date
United States of America,US,en.wikipedia,242702,Monkeypox,1639,2022-01-03
United States of America,US,en.wikipedia,242702,Monkeypox,968,2022-01-04
United Kingdom,GB,en.wikipedia,39680623,Monkeypox virus,5214,2022-05-07
United Kingdom,GB,en.wikipedia,242702,Monkeypox,4039,2022-05-07
United States of America,US,en.wikipedia,242702,Monkeypox,858,2022-05-07
United Kingdom,GB,en.wikipedia,39680623,Monkeypox virus,2799,2022-05-08
United Kingdom,GB,en.wikipedia,242702,Monkeypox,3101,2022-05-08
Ireland,IE,en.wikipedia,242702,Monkeypox,497,2022-05-08
United States of America,US,en.wikipedia,242702,Monkeypox,725,2022-05-08
Canada,CA,en.wikipedia,242702,Monkeypox,501,2022-05-09
United Kingdom,GB,en.wikipedia,39680623,Monkeypox virus,1212,2022-05-09
United Kingdom,GB,en.wikipedia,242702,Monkeypox,2376,2022-05-09
India,IN,en.wikipedia,39680623,Monkeypox virus,519,2022-05-09
India,IN,en.wikipedia,242702,Monkeypox,787,2022-05-09
United States of America,US,en.wikipedia,242702,Monkeypox,613,2022-05-09
United Kingdom,GB,en.wikipedia,39680623,Monkeypox virus,672,2022-05-10
United Kingdom,GB,en.wikipedia,242702,Monkeypox,924,2022-05-10
India,IN,en.wikipedia,39680623,Monkeypox virus,1492,2022-05-10
India,IN,en.wikipedia,242702,Monkeypox,1689,2022-05-10
United States of America,US,en.wikipedia,242702,Monkeypox,582,2022-05-10
India,IN,en.wikipedia,242702,Monkeypox,497,2022-05-11
United Kingdom,GB,en.wikipedia,39680623,Monkeypox virus,577,2022-05-13
United Kingdom,GB,en.wikipedia,242702,Monkeypox,569,2022-05-13
United Kingdom,GB,en.wikipedia,39680623,Monkeypox virus,5572,2022-05-14
United Kingdom,GB,en.wikipedia,242702,Monkeypox,3940,2022-05-14
Ireland,IE,en.wikipedia,242702,Monkeypox,476,2022-05-14
United States of America,US,en.wikipedia,242702,Monkeypox,1274,2022-05-14
United Kingdom,GB,en.wikipedia,39680623,Monkeypox virus,1880,2022-05-15
United Kingdom,GB,en.wikipedia,242702,Monkeypox,3885,2022-05-15
United States of America,US,en.wikipedia,242702,Monkeypox,1083,2022-05-15
Canada,CA,en.wikipedia,242702,Monkeypox,800,2022-05-16
United Kingdom,GB,en.wikipedia,39680623,Monkeypox virus,5694,2022-05-16
United Kingdom,GB,en.wikipedia,242702,Monkeypox,9291,2022-05-16
United States of America,US,en.wikipedia,242702,Monkeypox,1301,2022-05-16
Canada,CA,en.wikipedia,242702,Monkeypox,621,2022-05-17
Canada,CA,en.wikipedia,39680623,Monkeypox virus,495,2022-05-17
Germany,DE,en.wikipedia,242702,Monkeypox,871,2022-05-17
United Kingdom,GB,en.wikipedia,39680623,Monkeypox virus,7020,2022-05-17
United Kingdom,GB,en.wikipedia,242702,Monkeypox,13542,2022-05-17
United States of America,US,en.wikipedia,39680623,Monkeypox virus,515,2022-05-17
United States of America,US,en.wikipedia,242702,Monkeypox,2478,2022-05-17
Canada,CA,en.wikipedia,39680623,Monkeypox virus,3550,2022-05-18
Spain,ES,en.wikipedia,39680623,Monkeypox virus,546,2022-05-18
United Kingdom,GB,en.wikipedia,39680623,Monkeypox virus,9292,2022-05-18
Portugal,PT,en.wikipedia,39680623,Monkeypox virus,599,2022-05-18
United States of America,US,en.wikipedia,39680623,Monkeypox virus,9201,2022-05-18
Australia,AU,en.wikipedia,39680623,Monkeypox virus,1916,2022-05-19
Canada,CA,en.wikipedia,39680623,Monkeypox virus,23375,2022-05-19
Germany,DE,en.wikipedia,39680623,Monkeypox virus,695,2022-05-19
Spain,ES,en.wikipedia,39680623,Monkeypox virus,653,2022-05-19
Finland,FI,en.wikipedia,39680623,Monkeypox virus,734,2022-05-19
France,FR,en.wikipedia,39680623,Monkeypox virus,884,2022-05-19
United Kingdom,GB,en.wikipedia,39680623,Monkeypox virus,13578,2022-05-19
