country_long,iso2,project,page_id,page_title,pageviews,date
United States of America,US,en.wikipedia,61088,Smallpox vaccine,1068,2022-01-01
United States of America,US,en.wikipedia,28848,Scabies,470,2022-01-01
United States of America,US,en.wikipedia,6064646,Index case,4031,2022-01-01
United States of America,US,en.wikipedia,310094,Sore throat,782,2022-01-01
United States of America,US,en.wikipedia,46253,Fever,508,2022-01-01
United States of America,US,en.wikipedia,37636,Encephalitis,1183,2022-01-01
United States of America,US,en.wikipedia,53951,Diarrhea,514,2022-01-01
United States of America,US,en.wikipedia,452461,Myocarditis,1796,2022-01-01
United States of America,US,en.wikipedia,602790,Asymptomatic,1228,2022-01-01
United States of America,US,en.wikipedia,87175,Herd immunity,491,2022-01-01
United States of America,US,en.wikipedia,19167679,Virus,1222,2022-01-01
United States of America,US,en.wikipedia,937967,Endemic (epidemiology),496,2022-01-01
United States of America,US,en.wikipedia,18821046,Chickenpox,745,2022-01-01
United States of America,US,en.wikipedia,4774419,Herpes simplex virus,658,2022-01-01
United States of America,US,en.wikipedia,16829895,Smallpox,2955,2022-01-01
United States of America,US,en.wikipedia,37220,Infection,479,2022-01-01
United States of America,US,en.wikipedia,33583,World Health Organization,1017,2022-01-01
United States of America,US,en.wikipedia,158400,Sepsis,2508,2022-01-01
United States of America,US,en.wikipedia,443800,Shingles,1410,2022-01-01
United States of America,US,en.wikipedia,61088,Smallpox vaccine,1107,2022-01-02
United States of America,US,en.wikipedia,28848,Scabies,644,2022-01-02
United States of America,US,en.wikipedia,44410,Conjunctivitis,485,2022-01-02
United States of America,US,en.wikipedia,6064646,Index case,3612,2022-01-02
United States of America,US,en.wikipedia,310094,Sore throat,865,2022-01-02
United States of America,US,en.wikipedia,46253,Fever,565,2022-01-02
United States of America,US,en.wikipedia,37636,Encephalitis,701,2022-01-02
United States of America,US,en.wikipedia,53951,Diarrhea,584,2022-01-02
United States of America,US,en.wikipedia,452461,Myocarditis,2074,2022-01-02
United States of America,US,en.wikipedia,602790,Asymptomatic,1652,2022-01-02
United States of America,US,en.wikipedia,87175,Herd immunity,546,2022-01-02
United States of America,US,en.wikipedia,19167679,Virus,1352,2022-01-02
United States of America,US,en.wikipedia,937967,Endemic (epidemiology),645,2022-01-02
